missing_rate,Scenario,seed,Model,TP,FP,FN,Precision,Recall,F1,FPR,n_det,false_alarm_before_onset,first_det_after_onset
0.05,Gradual Drift,2,Evolving,13,57,26,0.18571428571428572,0.3333333333333333,0.23853211009174316,0.02906680265170831,1,0,1247.0
0.05,Gradual Drift,3,Static,18,105,21,0.14634146341463414,0.46153846153846156,0.2222222222222222,0.05354411014788373,1,0,1311.0
0.05,Gradual Drift,3,Evolving,14,64,25,0.1794871794871795,0.358974358974359,0.23931623931623933,0.03263640999490056,1,0,1311.0
0.05,Gradual Drift,4,Static,18,108,21,0.14285714285714285,0.46153846153846156,0.21818181818181817,0.05507394186639469,1,0,1247.0
0.05,Gradual Drift,4,Evolving,14,59,25,0.1917808219178082,0.358974358974359,0.25,0.030086690464048955,1,0,1247.0
0.1,Control,0,Static,11,25,28,0.3055555555555556,0.28205128205128205,0.29333333333333333,0.012748597654258032,0,0,
0.1,Control,0,Evolving,11,25,28,0.3055555555555556,0.28205128205128205,0.29333333333333333,0.012748597654258032,0,0,
0.1,Control,1,Static,12,31,27,0.27906976744186046,0.3076923076923077,0.2926829268292683,0.01580826109127996,0,0,
0.1,Control,1,Evolving,12,31,27,0.27906976744186046,0.3076923076923077,0.2926829268292683,0.01580826109127996,0,0,
0.1,Control,2,Static,11,27,28,0.2894736842105263,0.28205128205128205,0.28571428571428575,0.013768485466598673,0,0,
0.1,Control,2,Evolving,11,27,28,0.2894736842105263,0.28205128205128205,0.28571428571428575,0.013768485466598673,0,0,
0.1,Control,3,Static,10,24,29,0.29411764705882354,0.2564102564102564,0.273972602739726,0.01223865374808771,0,0,
0.1,Control,3,Evolving,10,24,29,0.29411764705882354,0.2564102564102564,0.273972602739726,0.01223865374808771,0,0,
0.1,Control,4,Static,9,32,30,0.21951219512195122,0.23076923076923078,0.225,0.01631820499745028,0,0,
0.1,Control,4,Evolving,9,32,30,0.21951219512195122,0.23076923076923078,0.225,0.01631820499745028,0,0,
0.1,Sudden Drift,0,Static,16,99,23,0.1391304347826087,0.41025641025641024,0.2077922077922078,0.0504844467108618,1,0,1183.0
0.1,Sudden Drift,0,Evolving,13,44,26,0.22807017543859648,0.3333333333333333,0.2708333333333333,0.022437531871494134,1,0,1183.0
0.1,Sudden Drift,1,Static,16,100,23,0.13793103448275862,0.41025641025641024,0.20645161290322583,0.05099439061703213,1,0,1183.0
0.1,Sudden Drift,1,Evolving,14,51,25,0.2153846153846154,0.358974358974359,0.2692307692307693,0.026007139214686385,1,0,1183.0
0.1,Sudden Drift,2,Static,17,103,22,0.14166666666666666,0.4358974358974359,0.21383647798742142,0.05252422233554309,1,0,1183.0
