noise_frac,Scenario,seed,Model,TP,FP,FN,Precision,Recall,F1,FPR,n_det,false_alarm_before_onset,first_det_after_onset
0.2,Sudden Drift,3,Static,19,119,20,0.13768115942028986,0.48717948717948717,0.21468926553672316,0.06068332483426823,1,0,1183.0
0.2,Sudden Drift,3,Evolving,14,63,25,0.18181818181818182,0.358974358974359,0.24137931034482757,0.03212646608873024,1,0,1183.0
0.2,Sudden Drift,4,Static,19,113,20,0.14393939393939395,0.48717948717948717,0.2222222222222222,0.057623661397246305,1,0,1183.0
0.2,Sudden Drift,4,Evolving,15,51,24,0.22727272727272727,0.38461538461538464,0.2857142857142857,0.026007139214686385,1,0,1183.0
0.2,Gradual Drift,0,Static,19,103,20,0.1557377049180328,0.48717948717948717,0.2360248447204969,0.05252422233554309,1,0,1279.0
0.2,Gradual Drift,0,Evolving,13,58,26,0.18309859154929578,0.3333333333333333,0.23636363636363636,0.029576746557878633,1,0,1279.0
0.2,Gradual Drift,1,Static,20,108,19,0.15625,0.5128205128205128,0.23952095808383234,0.05507394186639469,1,0,1247.0
0.2,Gradual Drift,1,Evolving,14,63,25,0.18181818181818182,0.358974358974359,0.24137931034482757,0.03212646608873024,1,0,1247.0
0.2,Gradual Drift,2,Static,20,111,19,0.15267175572519084,0.5128205128205128,0.23529411764705882,0.05660377358490566,1,0,1311.0
0.2,Gradual Drift,2,Evolving,15,66,24,0.18518518518518517,0.38461538461538464,0.25,0.033656297807241206,1,0,1311.0
0.2,Gradual Drift,3,Static,19,117,20,0.13970588235294118,0.48717948717948717,0.21714285714285714,0.05966343702192759,1,0,1311.0
0.2,Gradual Drift,3,Evolving,15,73,24,0.17045454545454544,0.38461538461538464,0.23622047244094488,0.037225905150433454,1,0,1311.0
0.2,Gradual Drift,4,Static,18,113,21,0.13740458015267176,0.46153846153846156,0.21176470588235297,0.057623661397246305,1,0,1279.0
0.2,Gradual Drift,4,Evolving,12,61,27,0.1643835616438356,0.3076923076923077,0.21428571428571427,0.031106578276389598,1,0,1279.0
0.3,Control,0,Static,10,39,29,0.20408163265306123,0.2564102564102564,0.22727272727272727,0.01988781234064253,0,0,
0.3,Control,0,Evolving,10,39,29,0.20408163265306123,0.2564102564102564,0.22727272727272727,0.01988781234064253,0,0,
0.3,Control,1,Static,11,35,28,0.2391304347826087,0.28205128205128205,0.2588235294117647,0.017848036715961243,0,0,
0.3,Control,1,Evolving,11,35,28,0.2391304347826087,0.28205128205128205,0.2588235294117647,0.017848036715961243,0,0,
0.3,Control,2,Static,10,34,29,0.22727272727272727,0.2564102564102564,0.24096385542168672,0.017338092809790925,0,0,
0.3,Control,2,Evolving,10,34,29,0.22727272727272727,0.2564102564102564,0.24096385542168672,0.017338092809790925,0,0,
0.3,Control,3,Static,11,42,28,0.20754716981132076,0.28205128205128205,0.2391304347826087,0.021417644059153494,0,0,
0.3,Control,3,Evolving,11,42,28,0.20754716981132076,0.28205128205128205,0.2391304347826087,0.021417644059153494,0,0,
0.3,Control,4,Static,11,41,28,0.21153846153846154,0.28205128205128205,0.24175824175824173,0.020907700152983173,0,0,
0.3,Control,4,Evolving,11,41,28,0.21153846153846154,0.28205128205128205,0.24175824175824173,0.020907700152983173,0,0,
0.3,Sudden Drift,0,Static,18,108,21,0.14285714285714285,0.46153846153846156,0.21818181818181817,0.05507394186639469,1,0,1183.0
0.3,Sudden Drift,0,Evolving,12,56,27,0.17647058823529413,0.3076923076923077,0.22429906542056074,0.02855685874553799,1,0,1183.0
0.3,Sudden Drift,1,Static,21,104,18,0.168,0.5384615384615384,0.25609756097560976,0.053034166241713414,1,0,1183.0
0.3,Sudden Drift,1,Evolving,14,58,25,0.19444444444444445,0.358974358974359,0.25225225225225223,0.029576746557878633,1,0,1183.0
0.3,Sudden Drift,2,Static,18,110,21,0.140625,0.46153846153846156,0.2155688622754491,0.05609382967873534,1,0,1183.0
0.3,Sudden Drift,2,Evolving,12,52,27,0.1875,0.3076923076923077,0.23300970873786409,0.026517083120856707,1,0,1183.0
0.3,Sudden Drift,3,Static,18,108,21,0.14285714285714285,0.46153846153846156,0.21818181818181817,0.05507394186639469,1,0,1183.0
0.3,Sudden Drift,3,Evolving,13,58,26,0.18309859154929578,0.3333333333333333,0.23636363636363636,0.029576746557878633,1,0,1183.0
0.3,Sudden Drift,4,Static,18,118,21,0.1323529411764706,0.46153846153846156,0.20571428571428574,0.06017338092809791,1,0,1247.0
0.3,Sudden Drift,4,Evolving,12,63,27,0.16,0.3076923076923077,0.2105263157894737,0.03212646608873024,1,0,1247.0
0.3,Gradual Drift,0,Static,19,106,20,0.152,0.48717948717948717,0.23170731707317072,0.05405405405405406,1,0,1279.0
0.3,Gradual Drift,0,Evolving,13,59,26,0.18055555555555555,0.3333333333333333,0.23423423423423426,0.030086690464048955,1,0,1279.0
0.3,Gradual Drift,1,Static,21,105,18,0.16666666666666666,0.5384615384615384,0.2545454545454545,0.05354411014788373,1,0,1279.0
0.3,Gradual Drift,1,Evolving,13,63,26,0.17105263157894737,0.3333333333333333,0.2260869565217391,0.03212646608873024,1,0,1279.0
0.3,Gradual Drift,2,Static,19,110,20,0.14728682170542637,0.48717948717948717,0.2261904761904762,0.05609382967873534,1,0,1343.0
0.3,Gradual Drift,2,Evolving,14,65,25,0.17721518987341772,0.358974358974359,0.23728813559322035,0.03314635390107088,1,0,1343.0
0.3,Gradual Drift,3,Static,17,104,22,0.14049586776859505,0.4358974358974359,0.21250000000000002,0.053034166241713414,1,0,1343.0
0.3,Gradual Drift,3,Evolving,12,69,27,0.14814814814814814,0.3076923076923077,0.2,0.03518612952575217,1,0,1343.0
0.3,Gradual Drift,4,Static,18,116,21,0.13432835820895522,0.46153846153846156,0.20809248554913293,0.059153493115757266,1,0,1311.0
0.3,Gradual Drift,4,Evolving,13,70,26,0.1566265060240964,0.3333333333333333,0.21311475409836064,0.035696073431922486,1,0,1311.0
